# Wave/freq Total
3.754427597e+00  0.0000000e+00
3.754452627e+00  0.0000000e+00
3.754477656e+00  0.0000000e+00
3.754502686e+00  0.0000000e+00
3.754527716e+00 6.6698862e-322
3.754552746e+00 2.1906403e-308
3.754577777e+00 2.1790005e-298
3.754602807e+00 3.5371755e-293
3.754627838e+00 1.1263718e-292
3.754652869e+00 1.6135977e-266
3.754677900e+00 4.3889783e-249
3.754702931e+00 1.9493159e-234
3.754727962e+00 3.7974720e-222
3.754752994e+00 2.8109593e-210
3.754778025e+00 4.7003993e-201
3.754803057e+00 2.7827773e-191
3.754828089e+00 2.8281467e-183
3.754853121e+00 2.8635827e-176
3.754878154e+00 6.2932201e-170
3.754903186e+00 2.3072285e-164
3.754928219e+00 2.0085432e-159
3.754953252e+00 4.8438796e-155
3.754978285e+00 3.6985718e-151
3.755003318e+00 9.9920289e-148
3.755028351e+00 1.0132042e-144
3.755053385e+00 4.5612061e-142
3.755078419e+00 8.8278520e-140
3.755103453e+00 7.3251114e-138
3.755128487e+00 3.4638175e-136
3.755153521e+00 8.1242849e-135
3.755178555e+00 9.9337526e-134
3.755203590e+00 6.8480622e-133
3.755228624e+00 2.9833284e-132
3.755253659e+00 9.1941315e-132
3.755278694e+00 2.5356379e-131
3.755303729e+00 6.4965565e-131
3.755328765e+00 1.5765054e-130
3.755353800e+00 3.6326745e-130
3.755378836e+00 7.9494225e-130
3.755403872e+00 1.6520940e-129
3.755428908e+00 3.2608913e-129
3.755453944e+00 6.1129956e-129
3.755478980e+00 1.0884364e-128
3.755504017e+00 1.8407697e-128
3.755529054e+00 2.9570612e-128
3.755554090e+00 4.5123559e-128
3.755579128e+00 6.5410373e-128
3.755604165e+00 9.0075814e-128
3.755629202e+00 1.1784353e-127
3.755654240e+00 1.4647257e-127
3.755679277e+00 1.7297196e-127
3.755704315e+00 1.9407890e-127
3.755729353e+00 2.0690773e-127
3.755754391e+00 2.0959514e-127
3.755779430e+00 2.0174354e-127
3.755804468e+00 1.8451729e-127
3.755829507e+00 1.6035985e-127
3.755854546e+00 1.3242636e-127
3.755879585e+00 1.0391287e-127
3.755904624e+00 7.7477072e-128
3.755929663e+00 5.4887788e-128
3.755954703e+00 3.6945693e-128
3.755979743e+00 2.3627712e-128
3.756004783e+00 1.4355922e-128
3.756029823e+00 8.2865130e-129
3.756054863e+00 4.5438272e-129
3.756079903e+00 2.3667789e-129
3.756104944e+00 1.1709951e-129
3.756129984e+00 5.5028663e-130
3.756155025e+00 2.4560315e-130
3.756180066e+00 1.0410120e-130
3.756205107e+00 4.1879305e-131
3.756230149e+00 1.5882592e-131
3.756255190e+00 5.4450562e-132
3.756280232e+00 1.6174800e-132
3.756305274e+00 3.0523239e-133
3.756330316e+00 2.8938178e-134
3.756355358e+00 1.4657201e-135
3.756380401e+00 3.4739991e-137
3.756405443e+00 9.6152899e-131
3.756430486e+00 2.1565553e-124
3.756455529e+00 8.0780147e-119
3.756480572e+00 6.3781678e-114
3.756505615e+00 1.3169303e-109
3.756530658e+00 8.7219923e-106
3.756555702e+00 2.0141288e-102
3.756580745e+00  1.8479592e-99
3.756605789e+00  7.0786727e-97
3.756630833e+00  1.3586457e-94
3.756655878e+00  1.3210843e-92
3.756680922e+00  7.7340006e-91
3.756705967e+00  2.2603059e-89
3.756731011e+00  3.7016568e-88
3.756756056e+00  3.5395447e-87
3.756781101e+00  2.0783938e-86
3.756806146e+00  8.1162544e-86
3.756831192e+00  2.3901774e-85
3.756856237e+00  6.3288001e-85
3.756881283e+00  2.6507285e-84
3.756906329e+00  1.4949873e-82
3.756931375e+00  6.3838163e-81
3.756956421e+00  2.3743925e-79
3.756981467e+00  5.0545771e-78
3.757006514e+00  6.7459812e-77
3.757031561e+00  6.0350422e-76
3.757056608e+00  3.7875581e-75
3.757081655e+00  1.7371327e-74
3.757106702e+00  6.2848193e-74
3.757131749e+00  1.8650280e-73
3.757156797e+00  5.0475700e-73
3.757181845e+00  1.2709097e-72
3.757206892e+00  3.0307912e-72
3.757231940e+00  6.8778725e-72
3.757256989e+00  1.4888017e-71
3.757282037e+00  3.1101877e-71
3.757307086e+00  6.5262333e-71
3.757332134e+00  1.4880074e-70
3.757357183e+00  3.8782482e-70
3.757382232e+00  1.1063737e-69
3.757407281e+00  3.1529062e-69
3.757432331e+00  8.5133962e-69
3.757457380e+00  2.1514915e-68
3.757482430e+00  5.3388686e-68
3.757507480e+00  1.2808797e-67
3.757532530e+00  2.9468107e-67
3.757557580e+00  6.4915442e-67
3.757582631e+00  1.3711591e-66
3.757607681e+00  2.7813992e-66
3.757632732e+00  5.4274795e-66
3.757657783e+00  1.0204620e-65
3.757682834e+00  1.8512810e-65
3.757707885e+00  3.2443831e-65
3.757732936e+00  5.4975308e-65
3.757757988e+00  9.0120105e-65
3.757783040e+00  1.4294406e-64
3.757808092e+00  2.1933048e-64
3.757833144e+00  3.2535834e-64
3.757858196e+00  4.6620187e-64
3.757883248e+00  6.4457633e-64
3.757908301e+00  8.5894565e-64
3.757933354e+00  1.1019250e-63
3.757958406e+00  1.3594623e-63
3.757983459e+00  1.6113615e-63
3.758008513e+00  1.8334474e-63
3.758033566e+00  2.0012060e-63
3.758058620e+00  2.0941974e-63
3.758083673e+00  2.1001549e-63
3.758108727e+00  2.0176335e-63
3.758133781e+00  1.8564227e-63
3.758158836e+00  1.6355804e-63
3.758183890e+00  1.3796501e-63
3.758208944e+00  1.1141138e-63
3.758233999e+00  8.6125393e-64
3.758259054e+00  6.3732975e-64
3.758284109e+00  4.5147001e-64
3.758309164e+00  3.0614960e-64
3.758334220e+00  1.9874348e-64
3.758359275e+00  1.2351652e-64
3.758384331e+00  7.3493900e-65
3.758409387e+00  4.1869075e-65
3.758434443e+00  2.2838713e-65
3.758459499e+00  1.1928991e-65
3.758484556e+00  5.9663656e-66
3.758509612e+00  2.8571903e-66
3.758534669e+00  1.3095131e-66
3.758559726e+00  5.7372127e-67
3.758584783e+00  2.3958004e-67
3.758609840e+00  9.4690360e-68
3.758634898e+00  3.4979089e-68
3.758659955e+00  1.1929274e-68
3.758685013e+00  3.7271236e-69
3.758710071e+00  1.0308668e-69
3.758735129e+00  2.4805032e-70
3.758760187e+00  5.0616670e-71
3.758785245e+00  8.4857562e-72
3.758810304e+00  1.1213566e-72
3.758835363e+00  1.1061543e-73
3.758860422e+00  7.7036216e-75
3.758885481e+00  6.8519609e-76
3.758910540e+00  2.0616028e-76
3.758935599e+00  3.8700255e-77
3.758960659e+00  4.7793470e-78
3.758985719e+00  3.9337949e-79
3.759010779e+00  2.1029230e-80
3.759035839e+00  6.9538513e-82
3.759060899e+00  1.3349625e-83
3.759085959e+00  1.3708639e-85
3.759111020e+00  6.7094461e-88
3.759136081e+00  9.3059926e-91
3.759161142e+00  9.0536717e-94
