 52 3984.579532 9.132E-30 1.122E+00.04540.048 3676.64070.70-.005639              3              1                    P 29      475663 5 8 5 5 2 8   114.0  118.0
 51 3985.099380 1.457E-30 3.532E-01.03590.038 4862.74110.74-.006132              2              0                    P 50      475623 5 8 5 5 2 8    99.0  101.0
 53 3987.242741 2.736E-28 3.531E-01.04170.044 2429.02970.70-.005807              2              0                    P 36      475623 5 8 5 5 3 8    71.0   73.0
 53 3988.257281 4.334E-30 1.130E+00.04650.049 3460.87660.70-.005589              3              1                    P 27      475663 5 8 5 5 2 8    53.0   55.0
 52 3988.364016 7.854E-28 3.534E-01.04130.044 2573.14530.67-.005831              2              0                    P 37      475623 5 8 5 5 1 8   146.0  150.0
 51 3988.681183 1.282E-31 1.121E+00.03900.041 5563.81840.70-.005949              3              1                    P 42      465623 5 8 5 5 2 8    83.0   85.0
 52 3990.000284 1.477E-29 1.131E+00.04600.049 3571.53210.70-.005614              3              1                    P 28      475663 5 8 5 5 2 8   110.0  114.0
 51 3992.195964 3.598E-30 3.561E-01.03620.038 4673.53810.74-.006109              2              0                    P 49      475623 5 8 5 5 2 8    97.0   99.0
 53 3993.097934 5.047E-28 3.559E-01.04220.045 2298.23320.70-.005784              2              0                    P 35      475623 5 8 5 5 3 8    69.0   71.0
 53 3993.531379 6.740E-30 1.140E+00.04710.050 3363.31850.71-.005563              3              1                    P 26      475663 5 8 5 5 2 8    51.0   53.0
 52 3994.306258 1.479E-27 3.563E-01.04170.044 2438.26660.67-.005807              2              0                    P 36      475623 5 8 5 5 1 8   142.0  146.0
 51 3995.235519 2.712E-31 1.130E+00.03950.042 5405.60560.70-.005925              3              1                    P 41      465623 5 8 5 5 2 8    81.0   83.0
 52 3995.359353 2.345E-29 1.140E+00.04650.049 3470.01230.70-.005589              3              1                    P 27      475663 5 8 5 5 2 8   106.0  110.0
 53 3998.743877 1.028E-29 1.149E+00.04770.051 3269.34320.71-.005537              3              1                    P 25      475663 5 8 5 5 2 8    49.0   51.0
 53 3998.892710 9.144E-28 3.589E-01.04270.045 2171.01490.70-.005760              2              0                    P 34      475623 5 8 5 5 3 8    67.0   69.0
 51 3999.229636 8.723E-30 3.590E-01.03660.039 4488.00120.74-.006087              2              0                    P 48      475623 5 8 5 5 2 8    95.0   97.0
 52 4000.187874 2.735E-27 3.592E-01.04220.045 2306.97460.67-.005784              2              0                    P 35      475623 5 8 5 5 1 8   138.0  142.0
 52 4000.656606 3.653E-29 1.150E+00.04710.050 3372.08510.71-.005563              3              1                    P 26      475663 5 8 5 5 2 8   102.0  106.0
 51 4001.725809 5.633E-31 1.139E+00.03990.042 5251.07690.70-.005902              3              1                    P 40      465623 5 8 5 5 2 8    79.0   81.0
 53 4003.894642 1.540E-29 1.159E+00.04830.051 3178.95400.72-.005510              3              1                    P 24      475663 5 8 5 5 2 8    47.0   49.0
 53 4004.626936 1.627E-27 3.618E-01.04320.046 2047.37960.70-.005736              2              0                    P 33      475623 5 8 5 5 3 8    65.0   67.0
 52 4004.856439 1.159E-31 2.510E+00.05450.059 4599.75860.76-.005194              4              2                    P 15      465683 5 8 5 5 2 8    58.0   62.0
 52 4005.891912 5.583E-29 1.160E+00.04770.051 3277.75410.71-.005537              3              1                    P 25      475663 5 8 5 5 2 8    98.0  102.0
 52 4006.008733 4.967E-27 3.621E-01.04270.045 2179.27430.67-.005760              2              0                    P 34      475623 5 8 5 5 1 8   134.0  138.0
 51 4006.200258 2.076E-29 3.619E-01.03700.039 4306.13750.74-.006064              2              0                    P 47      475623 5 8 5 5 2 8    93.0   95.0
 51 4008.151913 1.149E-30 1.149E+00.04030.043 5100.23820.70-.005878              3              1                    P 39      465623 5 8 5 5 2 8    77.0   79.0
 53 4008.983543 2.262E-29 1.169E+00.04900.052 3092.15430.72-.005483              3              1                    P 23      475683 5 8 5 5 2 8    45.0   47.0
 52 4009.368744 1.414E-31 2.536E+00.05530.059 4545.67630.77-.005142              4              2                    P 14      465683 5 8 5 5 2 8    54.0   58.0
 53 4010.300483 2.841E-27 3.648E-01.04380.046 1927.33160.70-.005712              2              0                    P 32      475623 5 8 5 5 3 8    63.0   65.0
 52 4011.065137 8.374E-29 1.170E+00.04830.051 3187.02260.72-.005510              3              1                    P 24      475663 5 8 5 5 2 8    94.0   98.0
 52 4011.768705 8.856E-27 3.651E-01.04320.046 2055.17020.67-.005736              2              0                    P 33      475623 5 8 5 5 1 8   130.0  134.0
 51 4013.107689 4.854E-29 3.649E-01.03740.040 4127.95390.74-.006041              2              0                    P 46      475623 5 8 5 5 2 8    91.0   93.0
 52 4013.817505 1.687E-31 2.562E+00.05610.060 4495.19050.78-.005083              4              2                    P 13      465683 5 8 5 5 2 8    50.0   54.0
 53 4014.010448 3.259E-29 1.179E+00.04960.053 3008.94730.73-.005454              3              1                    P 22      475683 5 8 5 5 2 8    43.0   45.0
 51 4014.513688 2.299E-30 1.158E+00.04080.043 4953.09540.70-.005855              3              1                    P 38      465623 5 8 5 5 2 8    75.0   77.0
 53 4015.913218 4.871E-27 3.678E-01.04430.047 1810.87540.70-.005688              2              0                    P 31      475623 5 8 5 5 3 8    61.0   63.0
 52 4016.176148 1.232E-28 1.180E+00.04900.052 3099.89420.72-.005483              3              1                    P 23      475683 5 8 5 5 2 8    90.0   94.0
 52 4017.467657 1.550E-26 3.681E-01.04380.046 1934.66690.67-.005712              2              0                    P 32      475623 5 8 5 5 1 8   126.0  130.0
 52 4018.202587 1.966E-31 2.590E+00.05690.062 4448.30300.78-.005016              4              2                    P 12      465683 5 8 5 5 2 8    46.0   50.0
 53 4018.975224 4.604E-29 1.190E+00.05030.053 2929.33600.73-.005424              3              1                    P 21      475683 5 8 5 5 2 8    41.0   43.0
 51 4019.951789 1.114E-28 3.679E-01.03780.040 3953.45740.74-.006018              2              0                    P 45      475623 5 8 5 5 2 8    89.0   91.0
 51 4020.810991 4.517E-30 1.168E+00.04130.044 4809.65410.70-.005831              3              1                    P 37      465623 5 8 5 5 2 8    73.0   75.0
 52 4021.224812 1.778E-28 1.190E+00.04960.053 3016.37200.73-.005454              3              1                    P 22      475683 5 8 5 5 2 8    86.0   90.0
 53 4021.465011 8.200E-27 3.709E-01.04480.047 1698.01520.70-.005663              2              0                    P 30      475623 5 8 5 5 3 8    59.0   61.0
 52 4022.523857 2.237E-31 2.620E+00.05770.063 4405.01550.79-.004939              4              2                    P 11      465683 5 8 5 5 2 8    42.0   46.0
 52 4023.105456 2.664E-26 3.712E-01.04430.047 1817.76880.67-.005688              2              0                    P 31      475623 5 8 5 5 1 8   122.0  126.0
 53 4023.877739 6.378E-29 1.200E+00.05100.054 2853.32350.74-.005392              3              1                    P 20      475683 5 8 5 5 2 8    39.0   41.0
 52 4026.210996 2.515E-28 1.201E+00.05030.053 2936.45910.73-.005424              3              1                    P 21      475683 5 8 5 5 2 8    82.0   86.0
 51 4026.732418 2.510E-28 3.709E-01.03820.040 3782.65460.74-.005995              2              0                    P 44      475623 5 8 5 5 2 8    87.0   89.0
 52 4026.781180 2.479E-31 2.653E+00.05860.064 4365.32960.79-.004850              4              2                    P 10      465683 5 8 5 5 2 8    38.0   42.0
 53 4026.955731 1.355E-26 3.740E-01.04540.048 1588.75510.70-.005639              2              0                    P 29      475623 5 8 5 5 3 8    57.0   59.0
 51 4027.043680 8.710E-30 1.177E+00.04170.044 4669.92000.70-.005807              3              1                    P 36      465623 5 8 5 5 2 8    71.0   73.0
 51 4028.392595 1.005E-31 2.512E+00.04650.049 5683.53510.70-.005589              4              2                    P 27      465663 5 8 5 5 2 8    53.0   55.0
 52 4028.681971 4.494E-26 3.743E-01.04480.047 1704.48020.67-.005663              2              0                    P 30      475623 5 8 5 5 1 8   118.0  122.0
 53 4028.717861 8.660E-29 1.211E+00.05170.055 2780.91240.74-.005359              3              1                    P 19      475683 5 8 5 5 2 8    37.0   39.0
 52 4030.974424 2.674E-31 2.688E+00.05950.065 4329.24690.79-.004746              4              2                    P  9      465683 5 8 5 5 2 8    34.0   38.0
 52 4031.134567 3.489E-28 1.211E+00.05100.054 2860.15840.74-.005392              3              1                    P 20      475683 5 8 5 5 2 8    78.0   82.0
 53 4032.385246 2.197E-26 3.771E-01.04600.049 1483.09910.70-.005614              2              0                    P 28      475623 5 8 5 5 3 8    55.0   57.0
 51 4033.211613 1.648E-29 1.187E+00.04220.045 4533.89830.70-.005784              3              1                    P 35      465623 5 8 5 5 2 8    69.0   71.0
 51 4033.449435 5.551E-28 3.739E-01.03860.041 3615.55210.74-.005972              2              0                    P 43      475623 5 8 5 5 2 8    85.0   87.0
 53 4033.495457 1.152E-28 1.222E+00.05240.056 2712.10540.75-.005323              3              1                    P 18      475683 5 8 5 5 2 8    35.0   37.0
 51 4033.936141 1.592E-31 2.534E+00.04710.050 5582.09010.71-.005563              4              2                    P 26      465663 5 8 5 5 2 8    51.0   53.0
 52 4034.197069 7.440E-26 3.774E-01.04540.048 1594.80530.67-.005639              2              0                    P 29      475623 5 8 5 5 1 8   114.0  118.0
 52 4035.103454 2.798E-31 2.729E+00.06060.066 4296.76860.79-.004623              4              2                    P  8      465683 5 8 5 5 2 8    30.0   34.0
 52 4035.995392 4.744E-28 1.222E+00.05170.055 2787.47270.74-.005359              3              1                    P 19      475683 5 8 5 5 2 8    74.0   78.0
 53 4037.753423 3.497E-26 3.803E-01.04650.049 1381.05110.70-.005589              2              0                    P 27      475623 5 8 5 5 3 8    53.0   55.0
 53 4038.210395 1.502E-28 1.234E+00.05310.057 2646.90500.75-.005284              3              1                    P 17      475683 5 8 5 5 2 8    33.0   35.0
 52 4039.168135 2.833E-31 2.776E+00.06180.068 4267.89590.78-.004478              4              2                    P  7      465683 5 8 5 5 2 8    26.0   30.0
 51 4039.314646 3.061E-29 1.197E+00.04270.045 4401.59430.70-.005760              3              1                    P 34      465623 5 8 5 5 2 8    67.0   69.0
 51 4039.413489 2.475E-31 2.556E+00.04770.051 5484.36870.71-.005537              4              2                    P 25      465663 5 8 5 5 2 8    49.0   51.0
 52 4039.650617 1.209E-25 3.806E-01.04600.049 1488.74790.67-.005614              2              0                    P 28      475623 5 8 5 5 1 8   110.0  114.0
 51 4040.102697 1.205E-27 3.770E-01.03900.041 3452.15630.74-.005949              2              0                    P 42      475623 5 8 5 5 2 8    83.0   85.0
 52 4040.793336 6.321E-28 1.234E+00.05240.056 2718.40470.75-.005323              3              1                    P 18      475683 5 8 5 5 2 8    70.0   74.0
 53 4042.862542 1.917E-28 1.245E+00.05380.058 2585.31370.76-.005241              3              1                    P 16      475683 5 8 5 5 2 8    31.0   33.0
 53 4043.060132 5.462E-26 3.836E-01.04710.050 1282.61470.70-.005563              2              0                    P 26      475623 5 8 5 5 3 8    51.0   53.0
 52 4043.168335 2.761E-31 2.833E+00.06320.069 4242.63000.77-.004303              4              2                    P  6      465683 5 8 5 5 2 8    22.0   26.0
 51 4044.824495 3.771E-31 2.578E+00.04830.051 5390.37470.72-.005510              4              2                    P 24      465663 5 8 5 5 2 8    47.0   49.0
 52 4045.042484 1.928E-25 3.838E-01.04650.049 1386.31210.67-.005589              2              0                    P 27      475623 5 8 5 5 1 8   106.0  110.0
 51 4045.352635 5.577E-29 1.207E+00.04320.046 4273.01330.70-.005736              3              1                    P 33      465623 5 8 5 5 2 8    65.0   67.0
 52 4045.528267 8.250E-28 1.245E+00.05310.057 2652.95710.75-.005284              3              1                    P 17      475683 5 8 5 5 2 8    66.0   70.0
 51 4046.692065 2.569E-27 3.801E-01.03950.042 3292.47340.74-.005925              2              0                    P 41      475623 5 8 5 5 2 8    81.0   83.0
 52 4047.103918 2.570E-31 2.907E+00.06510.071 4220.97180.76-.004091              4              2                    P  5      465683 5 8 5 5 2 8    18.0   22.0
 53 4047.451765 2.396E-28 1.258E+00.05450.059 2527.33370.76-.005194              3              1                    P 15      475683 5 8 5 5 2 8    29.0   31.0
 53 4048.305241 8.370E-26 3.868E-01.04770.051 1187.79360.70-.005537              2              0                    P 25      475623 5 8 5 5 3 8    49.0   51.0
 51 4050.169014 5.633E-31 2.600E+00.04900.052 5300.11170.72-.005483              4              2                    P 23      465683 5 8 5 5 2 8    45.0   47.0
 52 4050.200051 1.054E-27 1.257E+00.05380.058 2591.13210.76-.005241              3              1                    P 16      475683 5 8 5 5 2 8    62.0   66.0
 52 4050.372535 3.017E-25 3.871E-01.04710.050 1287.50160.67-.005563              2              0                    P 26      475623 5 8 5 5 1 8   102.0  106.0
 52 4050.974751 2.258E-31 3.013E+00.06770.074 4202.92200.76-.003831              4              2                    P  4      465683 5 8 5 5 2 8    14.0   18.0
 51 4051.325438 9.970E-29 1.217E+00.04380.046 4148.16010.70-.005712              3              1                    P 32      465663 5 8 5 5 2 8    63.0   65.0
 53 4051.977932 2.928E-28 1.270E+00.05530.059 2472.96720.77-.005142              3              1                    P 14      475683 5 8 5 5 2 8    27.0   29.0
 51 4053.217395 5.374E-27 3.832E-01.03990.042 3136.50950.74-.005902              2              0                    P 40      475623 5 8 5 5 2 8    79.0   81.0
 53 4053.488616 1.258E-25 3.902E-01.04830.051 1096.59120.70-.005510              2              0                    P 24      475623 5 8 5 5 3 8    47.0   49.0
 52 4054.780700 1.826E-31 3.187E+00.07120.077 4188.48140.77-.003510              4              2                    P  3      465683 5 8 5 5 2 8    10.0   14.0
 52 4054.808553 1.319E-27 1.269E+00.05450.059 2532.93210.76-.005194              3              1                    P 15      475683 5 8 5 5 2 8    58.0   62.0
 51 4055.446900 8.247E-31 2.623E+00.04960.053 5213.58320.73-.005454              4              2                    P 22      465683 5 8 5 5 2 8    43.0   45.0
 52 4055.640638 4.631E-25 3.904E-01.04770.051 1192.31990.67-.005537              2              0                    P 25      475623 5 8 5 5 1 8    98.0  102.0
 53 4056.440910 3.498E-28 1.284E+00.05610.060 2422.21600.78-.005083              3              1                    P 13      475683 5 8 5 5 2 8    25.0   27.0
 51 4057.232911 1.749E-28 1.227E+00.04430.047 4027.03950.70-.005688              3              1                    P 31      465663 5 8 5 5 2 8    61.0   63.0
 52 4058.521629 1.291E-31 3.568E+00.07570.081 4177.65050.77-.003108              4              2                    P  2      465683 5 8 5 5 2 8     6.0   10.0
 53 4058.610127 1.855E-25 3.936E-01.04900.052 1009.01080.70-.005483              2              0                    P 23      475623 5 8 5 5 3 8    45.0   47.0
 52 4059.353641 1.613E-27 1.282E+00.05530.059 2478.35910.77-.005142              3              1                    P 14      475683 5 8 5 5 2 8    54.0   58.0
 51 4059.678545 1.103E-26 3.864E-01.04030.043 2984.27070.74-.005878              2              0                    P 39      475623 5 8 5 5 2 8    77.0   79.0
 51 4060.658009 1.183E-30 2.647E+00.05030.053 5130.79260.73-.005424              4              2                    P 21      465683 5 8 5 5 2 8    41.0   43.0
 53 4060.840566 4.083E-28 1.298E+00.05690.062 2375.08220.78-.005016              3              1                    P 12      475683 5 8 5 5 2 8    23.0   25.0
 52 4060.846661 6.973E-25 3.938E-01.04830.051 1100.77060.67-.005510              2              0                    P 24      475623 5 8 5 5 1 8    94.0   98.0
 51 4063.074909 3.009E-28 1.238E+00.04480.047 3909.65620.70-.005663              3              1                    P 30      475663 5 8 5 5 2 8    59.0   61.0
 53 4063.669640 2.683E-25 3.970E-01.04960.053  925.05570.70-.005454              2              0                    P 22      475623 5 8 5 5 3 8    43.0   45.0
 52 4063.835180 1.929E-27 1.296E+00.05610.060 2427.41530.78-.005083              3              1                    P 13      475683 5 8 5 5 2 8    50.0   54.0
 53 4065.176766 4.650E-28 1.313E+00.05770.063 2331.56740.79-.004939              3              1                    P 11      475683 5 8 5 5 2 8    21.0   23.0
 51 4065.802194 1.664E-30 2.670E+00.05100.054 5051.74320.74-.005392              4              2                    P 20      465683 5 8 5 5 2 8    39.0   41.0
 52 4065.990469 1.030E-24 3.972E-01.04900.052 1012.85700.72-.005483              2              0                    P 23      475663 5 8 5 5 3 8    90.0   94.0
 51 4066.075373 2.223E-26 3.896E-01.04080.043 2835.76270.74-.005855              2              0                    P 38      475623 5 8 5 5 2 8    75.0   77.0
 52 4068.253036 2.254E-27 1.310E+00.05690.062 2380.10250.78-.005016              3              1                    P 12      475683 5 8 5 5 2 8    46.0   50.0
 53 4068.667023 3.805E-25 4.005E-01.05030.053  844.72880.70-.005424              2              0                    P 21      475623 5 8 5 5 3 8    41.0   43.0
 51 4068.851287 5.080E-28 1.248E+00.04540.048 3796.01490.70-.005639              3              1                    P 29      475663 5 8 5 5 2 8    57.0   59.0
 53 4069.449379 5.160E-28 1.329E+00.05860.064 2291.67320.79-.004850              3              1                    P 10      475683 5 8 5 5 2 8    19.0   21.0
 51 4070.879311 2.291E-30 2.695E+00.05170.055 4976.43800.74-.005359              4              2                    P 19      465683 5 8 5 5 2 8    37.0   39.0
